date,open,high,low,close,volume,fng,fundrate,inflation
2018-06-10,7491.73,7491.73,6622.81,6764.99,367338754.56308055,24,1.7,2.1939393939393943
2018-06-11,6765.0,6922.0,6610.0,6872.0,233056682.85777128,15,1.7,2.196969696969697
2018-06-12,6872.0,6890.51,6435.0,6530.0,245787800.8012235,19,1.7,2.2
2018-06-13,6530.0,6627.6,6118.68,6292.78,295395681.6623412,19,1.7,2.2033333333333336
2018-06-14,6292.78,6720.0,6260.0,6635.98,289074808.78413,17,1.9,2.206666666666667
2018-06-15,6638.67,6666.66,6362.31,6388.9,196192096.14553955,26,1.9,2.21
2018-06-16,6380.01,6560.0,6320.86,6483.98,143760033.69408152,22,1.9,2.2133333333333334
2018-06-17,6482.5,6589.03,6422.0,6449.61,129120718.76299886,23,1.9,2.216666666666667
2018-06-18,6444.06,6794.38,6380.0,6712.46,208570443.95997888,27,1.9,2.22
2018-06-19,6711.39,6841.74,6653.0,6741.21,163420093.794135,32,1.91,2.2233333333333336
2018-06-20,6740.0,6817.23,6551.81,6761.51,175935335.65057912,34,1.92,2.2266666666666666
2018-06-21,6763.21,6795.0,6672.57,6718.84,171149859.23602843,37,1.92,2.23
2018-06-22,6717.69,6733.97,5918.94,6045.0,327460666.9145165,28,1.92,2.2333333333333334
2018-06-23,6045.92,6260.0,6008.48,6149.98,162755765.84514263,17,1.92,2.236666666666667
2018-06-24,6149.98,6259.8,5750.0,6136.97,284095336.0578902,15,1.92,2.24
2018-06-25,6137.95,6350.0,6061.97,6252.0,242859915.8036461,16,1.92,2.243333333333333
2018-06-26,6252.0,6272.54,6035.0,6070.78,119676555.56449406,21,1.92,2.2466666666666666
2018-06-27,6065.89,6190.43,5971.0,6133.73,117103011.80356833,18,1.91,2.25
2018-06-28,6134.73,6173.01,5827.0,5853.98,185247010.87925187,20,1.91,2.2533333333333334
2018-06-29,5851.01,6300.0,5780.0,6197.92,201409363.91549844,16,1.91,2.256666666666667
2018-06-30,6197.92,6528.99,6186.03,6390.07,241568568.0310778,22,1.91,2.26
2018-07-01,6391.08,6441.06,6251.0,6356.81,175096501.49486908,27,1.91,2.263333333333333
2018-07-02,6360.82,6685.0,6271.62,6615.29,235524330.64865333,27,1.91,2.2666666666666666
2018-07-03,6615.29,6679.35,6463.01,6513.86,254550438.13768885,31,1.91,2.27
2018-07-04,6511.01,6784.92,6441.11,6586.98,156277884.33011597,33,1.91,2.273333333333333
2018-07-05,6585.53,6712.0,6453.33,6529.2,230809190.30740517,37,1.91,2.2766666666666664
2018-07-06,6529.2,6648.54,6425.0,6609.78,192230903.67599213,34,1.91,2.28
2018-07-07,6609.79,6818.16,6508.88,6756.98,158034155.17779145,34,1.91,2.283333333333333
2018-07-08,6753.48,6780.0,6667.44,6712.1,165941351.79836008,38,1.91,2.286666666666666
2018-07-09,6712.1,6802.06,6612.24,6662.12,179250573.66648534,39,1.91,2.29
2018-07-10,6662.78,6681.0,6263.0,6296.91,249099760.1897497,37,1.91,2.293333333333333
2018-07-11,6296.91,6406.0,6278.99,6378.07,182357469.02807087,29,1.91,2.2966666666666664
2018-07-12,6378.07,6380.28,6070.0,6250.57,194325733.7875043,33,1.91,2.3
2018-07-13,6251.4,6350.0,6110.0,6214.57,164467999.80925834,29,1.91,2.3034482758620687
2018-07-14,6214.57,6335.0,6178.0,6251.99,110959488.24719918,29,1.91,2.306896551724137
2018-07-15,6250.9,6395.0,6225.4,6353.01,145409822.7448766,32,1.91,2.310344827586207
2018-07-16,6354.15,6747.3,6330.4,6723.35,237104112.45049536,36,1.91,2.313793103448276
2018-07-17,6723.33,7468.99,6652.04,7317.44,364669305.0369064,39,1.91,2.317241379310345
2018-07-18,7317.44,7588.08,7225.38,7381.9,440669913.2083524,42,1.91,2.320689655172413
2018-07-19,7381.88,7576.28,7270.0,7466.21,305198281.13948625,44,1.91,2.3241379310344827
2018-07-20,7468.86,7700.0,7273.0,7337.53,342862693.0959096,47,1.91,2.327586206896552
2018-07-21,7337.47,7458.47,7211.0,7398.78,212126417.2287315,43,1.91,2.3310344827586205
2018-07-22,7399.25,7582.4,7335.5,7394.79,225619234.83744207,46,1.91,2.3344827586206893
2018-07-23,7394.78,7833.0,7375.0,7721.01,320156546.58240986,44,1.91,2.337931034482758
2018-07-24,7721.65,8486.0,7696.0,8397.24,487117211.68189824,49,1.91,2.3413793103448275
2018-07-25,8397.24,8491.77,8050.0,8175.64,398119757.80385005,54,1.91,2.3448275862068964
2018-07-26,8175.63,8315.69,7850.06,7920.0,352101207.6799552,53,1.91,2.348275862068965
2018-07-27,7920.0,8285.0,7805.0,8188.57,350881696.75270694,47,1.91,2.3517241379310345
2018-07-28,8188.57,8246.54,8067.0,8225.04,214357817.0314018,54,1.91,2.3551724137931034
2018-07-29,8225.04,8294.51,8115.0,8211.0,209564023.05224952,54,1.91,2.358620689655172
2018-07-30,8210.99,8273.0,7866.0,8173.92,321599782.180698,53,1.91,2.362068965517241
2018-07-31,8171.4,8180.0,7633.0,7730.93,379841367.2024023,48,1.91,2.3655172413793104
2018-08-01,7735.67,7750.0,7430.0,7604.58,322252070.44348675,39,1.91,2.3689655172413797
2018-08-02,7600.08,7709.46,7455.72,7525.71,285656680.7015636,39,1.91,2.372413793103448
2018-08-03,7525.71,7540.0,7282.44,7418.78,330599837.7285522,36,1.91,2.375862068965517
2018-08-04,7412.27,7494.81,6926.0,7009.84,262282965.4857332,31,1.91,2.3793103448275863
2018-08-05,7009.84,7089.87,6882.29,7024.19,229992627.52322164,23,1.91,2.382758620689655
2018-08-06,7024.19,7160.0,6821.0,6934.82,229071781.11536673,25,1.91,2.386206896551724
2018-08-07,6935.0,7150.46,6670.0,6720.06,316365882.1031662,25,1.91,2.389655172413793
2018-08-08,6720.63,6721.54,6123.0,6285.0,382460776.49398136,23,1.91,2.3931034482758617
2018-08-09,6283.27,6622.81,6178.6,6529.79,332880900.89059937,19,1.91,2.396551724137931
2018-08-10,6529.79,6575.88,6026.39,6144.01,374699380.94849145,21,1.91,2.4
2018-08-11,6148.13,6488.0,5971.0,6232.35,291056267.0892287,18,1.91,2.3941176470588235
2018-08-12,6222.55,6472.3,6130.0,6308.33,243227298.87942725,18,1.91,2.388235294117647
2018-08-13,6308.56,6545.0,6145.04,6246.35,341552293.0073,21,1.91,2.3823529411764706
2018-08-14,6248.25,6250.33,5880.0,6188.08,303179556.3624503,16,1.91,2.376470588235294
2018-08-15,6188.08,6609.0,6172.11,6267.16,439109005.4034304,18,1.91,2.3705882352941177
2018-08-16,6265.27,6480.0,6205.6,6311.75,307755605.1624039,21,1.92,2.364705882352941
2018-08-17,6316.0,6585.0,6285.4,6584.49,374472431.7235812,19,1.92,2.3588235294117648
2018-08-18,6579.04,6620.0,6288.0,6387.96,345964004.3657212,24,1.92,2.3529411764705883
2018-08-19,6387.96,6541.0,6300.0,6477.53,289271954.5532653,27,1.92,2.347058823529412
2018-08-20,6477.53,6530.0,6220.0,6254.84,317617945.7492608,26,1.92,2.3411764705882354
2018-08-21,6251.0,6500.0,6235.08,6480.0,265458342.7817206,19,1.92,2.335294117647059
2018-08-22,6479.98,6882.54,6251.2,6360.89,512501182.2029021,21,1.92,2.3294117647058825
2018-08-23,6362.57,6576.99,6342.28,6525.01,259786384.55491504,18,1.92,2.323529411764706
2018-08-24,6525.0,6725.0,6440.5,6681.64,251513064.47447148,19,1.92,2.3176470588235296
2018-08-25,6686.98,6789.0,6650.61,6733.64,129083702.47542232,22,1.92,2.311764705882353
2018-08-26,6733.64,6775.27,6568.0,6700.0,134117930.3957502,19,1.92,2.3058823529411767
2018-08-27,6700.0,6940.51,6646.5,6908.64,254214730.3171242,18,1.92,2.3
2018-08-28,6907.26,7135.0,6860.0,7076.11,338220284.29016566,19,1.92,2.294117647058824
2018-08-29,7077.0,7133.81,6912.34,7031.22,304565438.4850058,19,1.92,2.288235294117647
2018-08-30,7033.21,7063.63,6784.81,6984.84,309357226.58362526,22,1.92,2.2823529411764705
2018-08-31,6984.84,7089.0,6888.0,7011.21,282722730.06131953,17,1.91,2.276470588235294
2018-09-01,7011.21,7275.0,7008.74,7200.01,287299347.7691456,21,1.9125,2.2705882352941176
2018-09-02,7201.57,7345.45,7127.0,7302.01,288526018.71327895,18,1.915,2.264705882352941
2018-09-03,7302.0,7338.28,7191.63,7263.02,235393601.4251404,19,1.9175,2.2588235294117647
2018-09-04,7263.0,7410.0,7227.17,7359.06,258978411.271086,26,1.92,2.252941176470588
2018-09-05,7359.05,7397.3,6682.0,6700.0,449463489.0579976,17,1.92,2.247058823529412
2018-09-06,6697.27,6725.0,6265.0,6516.01,390391932.2091176,14,1.92,2.2411764705882358
2018-09-07,6516.84,6544.0,6320.0,6395.54,250716129.90518975,17,1.92,2.235294117647059
2018-09-08,6395.54,6478.0,6111.0,6185.05,241711345.37120345,18,1.92,2.2294117647058824
2018-09-09,6185.06,6441.0,6141.53,6250.81,233583450.10542047,13,1.92,2.223529411764706
2018-09-10,6252.26,6373.98,6221.0,6312.0,204178349.9698747,15,1.92,2.217647058823529
2018-09-11,6311.99,6404.0,6169.68,6294.91,208346648.80045933,18,1.92,2.211764705882353
2018-09-12,6293.0,6360.0,6192.37,6338.62,197398009.0125667,14,1.92,2.2058823529411766
2018-09-13,6338.62,6535.0,6337.4,6487.38,260985165.19184464,20,1.92,2.2
2018-09-14,6487.39,6584.99,6385.62,6476.63,241466662.64800572,23,1.92,2.2
2018-09-15,6476.63,6565.45,6466.13,6514.96,164557841.0798692,24,1.92,2.2
2018-09-16,6514.96,6524.62,6370.0,6505.0,178614079.15149954,28,1.92,2.2
2018-09-17,6500.08,6533.84,6201.0,6248.69,228970700.75042212,25,1.92,2.2
2018-09-18,6248.69,6390.0,6224.98,6336.45,205736329.40707865,21,1.92,2.2
2018-09-19,6336.39,6517.7,6123.0,6391.89,247455364.5237956,24,1.92,2.2
2018-09-20,6392.0,6540.0,6325.0,6492.0,161844271.63360685,24,1.92,2.2
2018-09-21,6492.0,6784.86,6491.0,6759.02,345746941.9999864,31,1.92,2.2
2018-09-22,6759.01,6839.03,6627.0,6723.05,197210670.89197847,35,1.9233333333333331,2.2
2018-09-23,6723.05,6788.23,6661.75,6708.0,203479219.38640648,38,1.9266666666666663,2.2
2018-09-24,6706.81,6730.0,6557.0,6581.39,234355999.54311827,43,1.93,2.2
2018-09-25,6581.42,6584.01,6325.02,6447.54,258927200.8310643,37,1.93,2.2
2018-09-26,6445.11,6557.99,6379.7,6465.12,216859675.30134344,37,1.93,2.2
2018-09-27,6467.84,6750.0,6434.0,6689.13,216914853.24175173,42,2.18,2.2
2018-09-28,6689.12,6814.8,6540.88,6634.58,283144987.50423056,42,2.18,2.2
2018-09-29,6634.58,6636.0,6464.57,6596.38,198424303.60660568,37,2.18,2.2
2018-09-30,6597.66,6662.0,6533.0,6626.57,183438992.37719536,34,2.18,2.2
2018-10-01,6626.57,6667.09,6510.0,6611.61,136115256.9683068,35,2.18,2.2
2018-10-02,6610.0,6640.0,6494.0,6525.79,185725492.2802391,33,2.18,2.2
2018-10-03,6525.79,6549.0,6430.0,6510.0,184622957.0249073,36,2.18,2.2
2018-10-04,6510.01,6643.46,6505.09,6593.79,132348680.67600606,29,2.18,2.2
2018-10-05,6591.69,6697.0,6543.08,6635.65,106264514.65757656,37,2.18,2.2
2018-10-06,6635.65,6651.0,6566.77,6594.27,72247942.41429408,34,2.18,2.2
2018-10-07,6596.44,6640.0,6525.0,6615.26,114489082.7536428,29,2.18,2.2
2018-10-08,6615.26,6715.6,6587.0,6673.01,153704602.4302414,26,2.18,2.2
2018-10-09,6673.01,6685.38,6607.0,6656.61,102115186.42882323,31,2.18,2.2
2018-10-10,6656.67,6659.95,6530.0,6631.0,101609680.88217255,28,2.18,2.2
2018-10-11,6630.21,6633.92,6205.0,6252.68,308153124.4458242,19,2.18,2.2
2018-10-12,6252.71,6360.0,6209.0,6298.01,183030273.0112748,13,2.18,2.197058823529412
2018-10-13,6298.0,6345.0,6285.07,6332.93,120728650.99596693,15,2.18,2.194117647058824
2018-10-14,6332.92,6416.0,6308.0,6339.34,99527294.08483064,18,2.18,2.1911764705882355
2018-10-15,6339.34,7680.0,6300.0,6752.5,627984505.5555727,20,2.18,2.1882352941176477
2018-10-16,6752.5,6900.0,6670.0,6759.27,186122772.22286084,24,2.18,2.185294117647059
2018-10-17,6762.76,6811.12,6676.01,6740.89,179641733.16423723,23,2.19,2.182352941176471
2018-10-18,6739.01,6796.0,6567.0,6618.96,134777360.1544343,26,2.19,2.1794117647058826
2018-10-19,6618.96,6648.14,6523.0,6528.88,136686215.6690547,24,2.19,2.1764705882352944
2018-10-20,6528.88,6617.65,6505.55,6588.4,126325797.49570584,21,2.19,2.173529411764706
2018-10-21,6585.72,6663.9,6580.0,6590.11,43146401.58918715,21,2.19,2.170588235294118
2018-10-22,6590.12,6639.0,6535.27,6581.2,106815019.55165032,27,2.19,2.1676470588235297
2018-10-23,6581.2,6595.0,6515.45,6553.51,90969791.0251596,24,2.2,2.164705882352941
2018-10-24,6553.51,6630.0,6547.53,6565.5,78795617.02141578,23,2.2,2.1617647058823533
2018-10-25,6566.81,6575.09,6502.8,6528.09,67691945.44596253,25,2.2,2.158823529411765
2018-10-26,6528.13,6600.0,6515.01,6538.63,61792487.79642334,29,2.2,2.155882352941177
2018-10-27,6538.63,6558.35,6463.04,6505.6,50667220.04441258,33,2.2,2.1529411764705886
2018-10-28,6505.6,6514.17,6453.0,6489.93,37298357.26271342,35,2.2,2.1500000000000004
2018-10-29,6489.93,6505.01,6315.0,6344.5,88484721.03624511,34,2.2,2.147058823529412
2018-10-30,6344.5,6395.0,6317.01,6330.87,56393439.18288881,31,2.2,2.1441176470588235
2018-10-31,6330.01,6428.0,6245.02,6371.93,76970488.28166042,32,2.2,2.1411764705882352
2018-11-01,6369.52,6442.65,6348.66,6410.0,58031686.8315247,29,2.2,2.138235294117647
2018-11-02,6410.0,6460.34,6388.2,6433.98,62589428.22024873,36,2.19,2.135294117647059
2018-11-03,6432.8,6439.97,6345.0,6387.09,48934237.93991929,36,2.1933333333333334,2.1323529411764706
2018-11-04,6388.0,6525.0,6359.0,6485.85,68169573.18695,41,2.1966666666666668,2.1294117647058823
2018-11-05,6485.85,6504.39,6431.02,6468.99,58127213.13931594,42,2.2,2.126470588235294
2018-11-06,6468.99,6531.31,6445.18,6519.11,77336101.18719475,42,2.2,2.123529411764706
2018-11-07,6522.73,6615.15,6509.0,6578.46,93820576.63463956,48,2.2,2.1205882352941177
2018-11-08,6578.46,6594.0,6468.22,6479.84,86450363.67835227,51,2.2,2.117647058823529
2018-11-09,6479.84,6511.53,6391.01,6419.99,75997777.50255908,47,2.19,2.114705882352941
2018-11-10,6419.99,6475.55,6411.0,6433.05,49745307.64123968,52,2.1925,2.111764705882353
2018-11-11,6435.16,6462.14,6355.0,6449.81,52709099.31784609,54,2.1950000000000003,2.1088235294117648
2018-11-12,6450.71,6497.0,6421.0,6453.07,65390882.14088421,52,2.1975,2.1058823529411765
2018-11-13,6451.68,6498.0,6391.15,6457.66,76142983.15196352,56,2.2,2.1029411764705883
2018-11-14,6458.98,6482.84,5656.87,5922.41,279632622.8943677,49,2.2,2.1
2018-11-15,5917.2,5939.54,5403.42,5753.4,270133503.66131264,28,2.2,2.1035714285714286
2018-11-16,5757.09,5782.89,5549.25,5655.94,219097215.966752,23,2.2,2.107142857142857
2018-11-17,5650.57,5656.6,5565.43,5628.29,148072393.10210443,24,2.2,2.1107142857142858
2018-11-18,5630.49,5738.17,5617.0,5662.0,134893236.9862243,26,2.2,2.1142857142857143
2018-11-19,5661.94,5664.0,4855.0,4910.03,368688743.45440894,28,2.2,2.117857142857143
2018-11-20,4913.4,5048.24,4326.0,4558.86,548036628.7293574,21,2.2,2.1214285714285714
2018-11-21,4559.91,4787.2,4413.85,4661.07,281264433.4846592,15,2.2,2.125
2018-11-22,4661.08,4721.77,4335.0,4370.0,157459733.72414753,14,2.2,2.128571428571429
2018-11-23,4370.9,4484.0,4222.94,4420.61,215283656.11539477,12,2.2,2.132142857142857
2018-11-24,4415.63,4527.0,3824.69,3932.44,258702927.69916424,15,2.2,2.1357142857142857
2018-11-25,3933.68,4233.0,3652.66,4085.78,398253568.5292384,9,2.2,2.1392857142857142
2018-11-26,4088.69,4206.0,3701.0,3862.2,373225761.8074076,17,2.2,2.142857142857143
2018-11-27,3864.45,3940.0,3689.12,3875.21,257593168.12182525,11,2.2,2.146428571428572
2018-11-28,3875.63,4394.47,3874.27,4264.85,382697308.297627,14,2.2,2.1500000000000004
2018-11-29,4262.06,4450.38,4125.65,4295.84,316809038.40988266,18,2.2,2.153571428571429
2018-11-30,4295.72,4341.36,3943.0,4041.32,278810574.935784,19,2.2,2.157142857142857
2018-12-01,4041.27,4299.99,3963.01,4190.02,186157614.3155972,13,2.1966666666666668,2.160714285714286
2018-12-02,4190.98,4312.99,4103.04,4161.01,162917339.00647366,15,2.1933333333333334,2.1642857142857146
