day,date,nyhlr,high1,low1,close1,volume1
Tue,07-07-2020,11.000,11.000,11.000,11.000,0
Mon,07-06-2020,32.000,32.000,32.000,32.000,0
Thu,07-02-2020,30.333,30.333,30.333,30.333,0
Wed,07-01-2020,25.000,25.000,25.000,25.000,0
Tue,06-30-2020,9.6666,9.6666,9.6666,9.6666,0
Mon,06-29-2020,23.000,23.000,23.000,23.000,0
Fri,06-26-2020,2.6923,2.6923,2.6923,2.6923,0
Thu,06-25-2020,1.5625,1.5625,1.5625,1.5625,0
Wed,06-24-2020,1.2500,1.2500,1.2500,1.2500,0
Tue,06-23-2020,21.000,21.000,21.000,21.000,0
Mon,06-22-2020,10.667,10.667,10.667,10.667,0
Fri,06-19-2020,11.333,11.333,11.333,11.333,0
Thu,06-18-2020,9.5000,9.5000,9.5000,9.5000,0
Wed,06-17-2020,57.000,57.000,57.000,57.000,0
Tue,06-16-2020,44.000,44.000,44.000,44.000,0
Mon,06-15-2020,4.5000,4.5000,4.5000,4.5000,0
Fri,06-12-2020,6.0000,6.0000,6.0000,6.0000,0
Thu,06-11-2020,2.0000,2.0000,2.0000,2.0000,0
Wed,06-10-2020,40.000,40.000,40.000,40.000,0
Tue,06-09-2020,12.000,12.000,12.000,12.000,0
Mon,06-08-2020,14.250,14.250,14.250,14.250,0
Fri,06-05-2020,64.000,64.000,64.000,64.000,0
Thu,06-04-2020,13.667,13.667,13.667,13.667,0
Wed,06-03-2020,35.500,35.500,35.500,35.500,0
Tue,06-02-2020,14.000,14.000,14.000,14.000,0
Mon,06-01-2020,10.000,10.000,10.000,10.000,0
Fri,05-29-2020,2.0769,2.0769,2.0769,2.0769,0
Thu,05-28-2020,37.000,37.000,37.000,37.000,0
Wed,05-27-2020,3.0000,3.0000,3.0000,3.0000,0
Tue,05-26-2020,14.000,14.000,14.000,14.000,0
Fri,05-22-2020,3.7142,3.7142,3.7142,3.7142,0
Thu,05-21-2020,5.0000,5.0000,5.0000,5.0000,0
Wed,05-20-2020,4.8571,4.8571,4.8571,4.8571,0
Tue,05-19-2020,3.1111,3.1111,3.1111,3.1111,0
Mon,05-18-2020,5.6250,5.6250,5.6250,5.6250,0
Fri,05-15-2020,1.7058,1.7058,1.7058,1.7058,0
