date,open,high,low,close,Volume USDT
2018-09-15 14:00:00,6540,6565.45,6525.02,6540.02,8696443.36
2018-09-15 13:00:00,6531.02,6565,6530.98,6540,9284237.69
2018-09-15 12:00:00,6523.51,6536.92,6513.04,6531.02,10021658.43
2018-09-15 11:00:00,6520.02,6528.69,6495.11,6523.51,8376422.79
2018-09-15 10:00:00,6535.93,6559.35,6512.41,6520.02,6337118.28
2018-09-15 09:00:00,6512.89,6535.94,6512.89,6535.93,7962311.97
2018-09-15 08:00:00,6498.01,6538.79,6497.02,6512.89,6424279.53
2018-09-15 07:00:00,6483.85,6506.95,6483.84,6498.01,6205107.05
2018-09-15 06:00:00,6491.05,6493.67,6466.13,6483.85,3902505.79
2018-09-15 05:00:00,6511.07,6521,6479.89,6491.05,8220525.02
2018-09-15 04:00:00,6496.85,6518.19,6490.41,6511.07,7379678.29
2018-09-15 03:00:00,6499.57,6509.47,6480,6496.85,3858016.52
2018-09-15 02:00:00,6520.52,6525.23,6493.34,6499.57,4508490.71
2018-09-15 01:00:00,6486.22,6527.79,6480.9,6520.52,7604450.29
2018-09-15 00:00:00,6476.63,6504.93,6473.3,6486.22,6401278.56
2018-09-14 23:00:00,6514.09,6528.99,6449.38,6476.63,10588514.09
2018-09-14 22:00:00,6509.2,6538,6496.87,6514.09,7699316.06
2018-09-14 21:00:00,6531.26,6537.99,6494.05,6509.2,5922704.6
2018-09-14 20:00:00,6531,6545.63,6504.09,6531.26,7533433.37
2018-09-14 19:00:00,6477.95,6538.93,6474.66,6531,10226421.97
2018-09-14 18:00:00,6465.63,6486.45,6452.54,6477.95,9895674.14
2018-09-14 17:00:00,6507.65,6509.07,6465,6465.63,9021527.5
2018-09-14 16:00:00,6480,6523.21,6478.06,6507.65,11061780.7
2018-09-14 15:00:00,6449.99,6485.49,6449.45,6480,7854266.3
2018-09-14 14:00:00,6443.82,6458.86,6426.01,6449.99,9900675.99
2018-09-14 13:00:00,6465.96,6466.42,6426.01,6443.82,8865703.28
2018-09-14 12:00:00,6459.28,6475,6443,6465.96,9988364.47
2018-09-14 11:00:00,6441,6480.49,6437.62,6459.28,11312192.17
2018-09-14 10:00:00,6426.07,6467.1,6425,6441,8941194.14
2018-09-14 09:00:00,6414.66,6464.57,6405,6426.07,11210377.52
2018-09-14 08:00:00,6543.84,6549.97,6385.62,6414.66,16170196.67
2018-09-14 07:00:00,6555.04,6583.89,6536.85,6543.84,8349201.08
2018-09-14 06:00:00,6548.48,6561.15,6535.21,6555.04,7273813.53
2018-09-14 05:00:00,6545,6570.99,6543.32,6548.48,7829447.24
2018-09-14 04:00:00,6542.37,6570,6535.41,6545,8672493.38
2018-09-14 03:00:00,6551,6584.99,6542.13,6542.37,9902440.29
2018-09-14 02:00:00,6488.99,6565.68,6488.77,6551,15066365.46
2018-09-14 01:00:00,6461.76,6495.09,6460.16,6488.99,5669563.11
2018-09-14 00:00:00,6487.38,6501.24,6454.68,6461.76,6979499.2
2018-09-13 23:00:00,6475.89,6519,6474.88,6487.38,11427794.57
2018-09-13 22:00:00,6466.86,6501.36,6462.41,6475.89,9626370.16
2018-09-13 21:00:00,6467.36,6478.69,6445.78,6466.86,6656987.22
2018-09-13 20:00:00,6447.76,6473.05,6411.02,6467.36,9878131.11
2018-09-13 19:00:00,6482.17,6494,6418,6447.76,12812842.75
2018-09-13 18:00:00,6500.92,6507.64,6473,6482.17,9774731.64
2018-09-13 17:00:00,6513.15,6528.96,6473,6500.92,12104599.84
2018-09-13 16:00:00,6480,6528,6479,6513.15,11601151.27
2018-09-13 15:00:00,6493.01,6496.25,6467,6480,6663153.98
2018-09-13 14:00:00,6508.29,6528.13,6487.9,6493.01,12499824.25
2018-09-13 13:00:00,6458.08,6535,6452.06,6508.29,17528672.75
2018-09-13 12:00:00,6468,6487,6436.55,6458.08,14319024.04
2018-09-13 11:00:00,6445.88,6468.88,6423.07,6468,9824673.13
2018-09-13 10:00:00,6439.59,6476.78,6430.54,6445.88,8131577.11
2018-09-13 09:00:00,6419.66,6488,6412.02,6439.59,11576362.01
2018-09-13 08:00:00,6385.01,6437.41,6383.12,6419.66,12009836.32
2018-09-13 07:00:00,6390.71,6400,6380.95,6385.01,8902469.72
