date,open,high,low,close,Volume USDT,fng_value
2021-10-17 03:00:00,61100.00000000,61363.53000000,61044.44000000,61115.85000000,58125435.49550670,79
2021-10-17 04:00:00,61115.86000000,61249.93000000,60883.39000000,60912.35000000,66046766.90051050,79
2021-10-17 05:00:00,60912.36000000,60973.10000000,60609.24000000,60648.87000000,56864126.55343730,79
2021-10-17 06:00:00,60648.87000000,60856.27000000,60543.01000000,60671.98000000,57515163.63462750,79
2021-10-17 07:00:00,60671.98000000,60840.79000000,60299.33000000,60329.54000000,67016858.34232890,79
2021-10-17 08:00:00,60329.54000000,60912.48000000,60322.85000000,60670.93000000,64253537.31428920,79
2021-10-17 09:00:00,60670.92000000,61240.92000000,60619.89000000,61222.81000000,78058023.67104880,79
2021-10-17 10:00:00,61222.81000000,61465.90000000,60919.36000000,61133.33000000,102112556.49013590,79
2021-10-17 11:00:00,61133.33000000,61320.33000000,60935.00000000,60939.89000000,80603419.47597290,79
2021-10-17 12:00:00,60939.90000000,60982.82000000,60700.00000000,60861.23000000,83129482.88717920,79
2021-10-17 13:00:00,60861.23000000,61326.64000000,60605.34000000,61017.04000000,121297997.08070780,79
2021-10-17 14:00:00,61017.04000000,61100.00000000,60756.99000000,61017.77000000,47649048.85459780,79
2021-10-17 15:00:00,61017.77000000,61100.26000000,60471.97000000,60764.12000000,101607039.03571810,79
2021-10-17 16:00:00,60764.13000000,61000.00000000,60659.20000000,60971.39000000,84870564.60630760,79
2021-10-17 17:00:00,60971.39000000,61080.00000000,60800.00000000,61029.65000000,61996221.25695610,79
2021-10-17 18:00:00,61029.66000000,61040.59000000,60841.52000000,60976.09000000,40709258.52620410,79
2021-10-17 19:00:00,60976.08000000,61000.00000000,60379.56000000,60519.48000000,95541670.20484710,79
2021-10-17 20:00:00,60519.48000000,60519.49000000,58963.00000000,59401.12000000,405025163.07701340,79
2021-10-17 21:00:00,59401.12000000,60694.44000000,59300.21000000,60623.95000000,168375152.35499990,79
2021-10-17 22:00:00,60623.95000000,61328.35000000,60623.94000000,61275.67000000,175877225.32402520,79
2021-10-17 23:00:00,61275.67000000,61718.39000000,61166.07000000,61528.33000000,138338514.23483330,79
2021-10-18 00:00:00,61528.32000000,62471.53000000,61406.27000000,62460.75000000,219332875.80739150,78
2021-10-18 01:00:00,62460.75000000,62578.91000000,62000.00000000,62098.05000000,143595469.62268390,78
2021-10-18 02:00:00,62098.05000000,62329.34000000,61942.40000000,62106.21000000,84211567.75174000,78
2021-10-18 03:00:00,62106.21000000,62271.34000000,61881.00000000,62123.87000000,64052049.47675520,78
2021-10-18 04:00:00,62123.87000000,62419.99000000,62000.01000000,62371.15000000,80835108.65708280,78
2021-10-18 05:00:00,62371.16000000,62533.64000000,62245.39000000,62371.08000000,92157681.10457710,78
2021-10-18 06:00:00,62371.07000000,62456.49000000,62124.65000000,62255.61000000,89122981.89266890,78
2021-10-18 07:00:00,62255.62000000,62695.78000000,61775.38000000,61885.42000000,158397790.05281500,78
2021-10-18 08:00:00,61885.43000000,62464.01000000,61505.00000000,61807.94000000,172490151.94493080,78
2021-10-18 09:00:00,61807.93000000,62143.60000000,60579.02000000,61245.60000000,216739901.35674850,78
2021-10-18 10:00:00,61245.59000000,61524.20000000,60627.59000000,61316.57000000,214626217.23883090,78
2021-10-18 11:00:00,61316.54000000,61556.35000000,60700.00000000,60933.04000000,160798275.77281220,78
2021-10-18 12:00:00,60933.04000000,61170.66000000,60270.00000000,60617.01000000,167470317.87759710,78
2021-10-18 13:00:00,60617.01000000,61943.10000000,59844.45000000,61835.23000000,322659154.99973980,78
2021-10-18 14:00:00,61835.22000000,62213.73000000,61604.99000000,62092.40000000,173681749.85538300,78
2021-10-18 15:00:00,62088.22000000,62200.00000000,61700.00000000,62003.03000000,108268556.11532740,78
2021-10-18 16:00:00,62003.04000000,62377.73000000,61452.00000000,61820.77000000,158868139.73800630,78
2021-10-18 17:00:00,61820.78000000,62093.03000000,61712.86000000,61738.07000000,82253531.74123490,78
2021-10-18 18:00:00,61738.07000000,62050.00000000,61700.00000000,61850.01000000,71210288.26370500,78
2021-10-18 19:00:00,61850.00000000,61850.02000000,61034.05000000,61434.63000000,152475049.03285890,78
2021-10-18 20:00:00,61434.64000000,61600.00000000,61110.00000000,61344.06000000,82604122.42490960,78
2021-10-18 21:00:00,61344.05000000,61881.78000000,61106.40000000,61794.91000000,63679247.47786390,78
2021-10-18 22:00:00,61794.90000000,62099.85000000,61591.97000000,62075.00000000,64151242.91107790,78
2021-10-18 23:00:00,62075.00000000,62104.72000000,61824.26000000,62009.84000000,51409762.30381210,78
2021-10-19 00:00:00,62005.60000000,62337.04000000,61802.47000000,61857.74000000,87621219.68898860,75
2021-10-19 01:00:00,61857.75000000,62015.00000000,61526.62000000,61826.96000000,85003215.02317330,75
2021-10-19 02:00:00,61826.95000000,61927.00000000,61678.85000000,61744.44000000,45317873.08662010,75
2021-10-19 03:00:00,61744.44000000,62998.00000000,61722.46000000,62588.86000000,249654104.43281940,75
2021-10-19 04:00:00,62588.86000000,62820.20000000,62256.37000000,62429.00000000,85082567.63581940,75
2021-10-19 05:00:00,62429.00000000,62573.24000000,62301.70000000,62476.65000000,71136015.72276920,75
